FIRST_NAME,HEIGHT_FEET,HEIGHT_INCHES,ID,LAST_NAME,NICK_NAME,POSITION,TEAM,WEIGHT_POUNDS
MarShon,0,0,67,Brooks,MarShonWin,G,Team(id=15", abbreviation=MEM", city=Memphis", conference=West", division=Southwest", full_name=Memphis Grizzlies", name=Grizzlies),0
Lorenzo,0,0,71,Brown,Lorenzos,G,Team(id=28", abbreviation=TOR", city=Toronto", conference=East", division=Atlantic", full_name=Toronto Raptors", name=Raptors),0
Omri,0,0,90,Casspi,OmriIs,F,Team(id=15", abbreviation=MEM", city=Memphis", conference=West", division=Southwest", full_name=Memphis Grizzlies", name=Grizzlies),0
Alex,6,6,1,Abrines,Alexi,G,Team(id=21", abbreviation=OKC", city=Oklahoma City", conference=West", division=Northwest", full_name=Oklahoma City Thunder", name=Thunder),200
Jabari,0,0,47,Bird,JabariWow,G,Team(id=2", abbreviation=BOS", city=Boston", conference=East", division=Atlantic", full_name=Boston Celtics", name=Celtics),0
Tyler,0,0,119,Davis,Tylero,C,Team(id=21", abbreviation=OKC", city=Oklahoma City", conference=West", division=Northwest", full_name=Oklahoma City Thunder", name=Thunder),0
Ron,0,0,25,Baker,Roni,G,Team(id=20", abbreviation=NYK", city=New York", conference=East", division=Atlantic", full_name=New York Knicks", name=Knicks),0
Ike,0,0,14,Anigbogu,Ikeee,C,Team(id=12", abbreviation=IND", city=Indiana", conference=East", division=Central", full_name=Indiana Pacers", name=Pacers),0
